Numer_zgloszenia;Numer_prawa_wylacznego;Data_pierwszenstwa;Data_zgloszenia;Numer_BUP;Data_Publikacji_BUP;Numer_WUP;Data_Publikacji_WUP;Tytul;Uprawnieni;Tworcy;Pelnomocnicy;Klasyfikacja_MKP;Status_sprawy;
277285;;1988-01-21;1989-01-20;19/1989;1989-09-18;;;Sposób zapobiegania obciążeniu środowiska przez chemiczne i/albo biologiczne substancje szkodliwe, które są emitowane przez powierzchnie zabudowy;Heinz Holter;HULTER HEINZ IGELBUSCHER HEINRICH GRESCH HEINRICH DEWERT HERIBERT;PRZEDSIĘBIORSTWO RZECZNIKÓW PATENTOWYCH PATPOL SP. Z O.O. ul. Nowoursynowska 162 J 02-776 Warszawa;;Decyzja o umorzeniu postępowania;
277286;;;1989-01-21;15/1990;1990-07-23;;;Sposób wykańczania skór surowych, skóry i podobnych materiałów włóknistych;COMETA ENGINEERING S.r.l. Urgnano/Bergamo;LOCATI LUIGI CALCIATI GIOVANNI CONTI EZIO CARLESSI ANTONIO;POLSERVICE KANCELARIA RZECZNIKÓW PATENTOWYCH SP. Z O.O. ul. Bluszczańska 73 00-712 Warszawa;C14C;Decyzja o umorzeniu postępowania;
277287;;1988-01-22;1989-01-21;17/1989;1989-08-21;;;Sztuczna soczewka oka;Mezhotraslevoi Nauchno-Tekhnichesky Komplex "MIKROKHIRURGIA GLAZA";FEDOROV SVATOSLAV NIKOLAEVICH IVANOV IGOR LEONIDOVICH PASHINOVA NADEZHDA FEDEROVNA ZAKHAROV DMITRY VALERIEVICH;POLSERVICE KANCELARIA RZECZNIKÓW PATENTOWYCH SP. Z O.O. ul. Bluszczańska 73 00-712 Warszawa;;Decyzja o umorzeniu postępowania;
277288;160796;;1989-01-18;17/1989;1989-08-21;04/1993;1993-04-30;Układ przeniesienia napędu na przesuwne osiowo wrzeciono;WYŻSZA SZKOŁA INŻYNIERSKA;ZIÓŁKOWSKI STANISŁAW BOKIEJ STANISŁAW KACALAK WOJCIECH ŚCIEGIENKA RYSZARD KONFISZ JANUSZ;;B23Q5/10 B24B47/12;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277289;160797;;1989-01-18;17/1989;1989-08-21;04/1993;1993-04-30;Układ przeniesienia napędu na przesuwne osiowo wrzeciono;WYŻSZA SZKOŁA INŻYNIERSKA;ZIÓŁKOWSKI STANISŁAW BOKIEJ STANISŁAW KACALAK WOJCIECH ŚCIEGIENKA RYSZARD KONFISZ JANUSZ;;B23Q5/10 B24B47/12;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277290;158493;;1989-01-19;15/1990;1990-07-23;09/1992;1992-09-30;Stanowisko do naprawy nadwozi samochodowych;BOŃKOWSKI WITOLD;BOŃKOWSKI WITOLD;;B21D1/12;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277291;158834;;1989-01-19;15/1990;1990-07-23;10/1992;1992-10-30;Siłownik prasowarki do odzieży;FABRYKA URZĄDZEŃ PRASOWALNICZYCH "PROTOMET";WORKERT STEFAN;;F15B9/06;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277292;158835;;1989-01-19;15/1990;1990-07-23;10/1992;1992-10-30;Prasulec do prasowania odzieży;FABRYKA URZĄDZEŃ PRASOWALNICZYCH "PROTOMET";WORKERT STEFAN;;D06F81/00;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277293;;;1989-01-19;16/1989;1989-08-07;;;Stelaż, zwłaszcza do rysunków technicznych;ZAKŁAD BUDOWY MASZYN "ZREMB";KARPUS RADZISŁAW KUREK HIERONIM STANKE TADEUSZ MIĘSIKOWSKI JANUARY BRZEZIŃSKI ROMAN DROBIŃSKI MAREK CHARKOWY ANDRZEJ CEMKA KAZIMIERZ;;;Decyzja o wygaśnięciu decyzji warunkowej;
277294;159321;;1989-01-19;15/1990;1990-07-23;12/1992;1992-12-31;Sprzęgło zębate dwuwieńcowe;TORUŃSKIE ZAKŁADY URZĄDZEŃ OKRĘTOWYCH "TOWIMOR" SPÓŁKA AKCYJNA;ZASADZKI ZBIGNIEW;;F16D3/18;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277295;;;1989-01-19;15/1990;1990-07-23;;;Sposób i urządzenie do odpylania górniczych wyrobisk, zwłaszcza korytarzowych;KOPALNIA WĘGLA KAMIENNEGO "SIEMIANOWICE";BŁĄKAŁA BOGDAN STRZEMIŃSKI JERZY MARCOL JÓZEF PLUSZCZYK ROMAN;;E21F;Decyzja o umorzeniu postępowania;
277296;157627;;1989-01-19;15/1990;1990-07-23;06/1992;1992-06-30;Odkraplacz cieczy z aerozolu;HUTA ALUMINIUM "KONIN" SPÓŁKA AKCYJNA;PRZYBYLSKI HENRYK LAZAR ZDZISŁAW;;B01D45/16;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277297;;;1989-01-19;22/1989;1989-10-30;;;Sposób wykonania chłodnicy płytowej;WYTWÓRNIA SPRZĘTU KOMUNIKACYJNEGO "PZL-WSK-KRAKÓW";JAGUŚ CZESŁAW ŚWIERZOWSKI ROMAN;;;Decyzja o umorzeniu postępowania;
277298;;;1989-01-19;20/1989;1989-10-02;;;Sposób mocowania modelu wlewu głównego do płyty modelowej i model wlewu głównego, zwłaszcza do formowania na automatycznych liniach formierskich;PRZEDSIĘBIORSTWO MECHANIZACJI AUTOMATYZACJI I ELEKTRONIKI GÓRNICZEJ "POLMAG-EMAG" SOSNOWIECKIE ODLEWNIE STALIWA "SOSTAL";NAZIMEK STANISŁAW;Komórka Wynalazczości Sosnowieckich Odlewni Staliwa "SOSTAL";;Decyzja o umorzeniu postępowania;
277299;;;1989-01-19;20/1989;1989-10-02;;;Sposób i przyrząd do blokowania wałka z nożami przy strugarkach do drewna;PRZEDSIĘBIORSTWO MECHANIZACJI AUTOMATYZACJI I ELEKTRONIKI GÓRNICZEJ "POLMAG-EMAG" SOSNOWIECKIE ODLEWNIE STALIWA "SOSTAL";BUJAK JANUSZ;Komórka Wynalazczości Sosnowieckich Odlewni Staliwa "SOSTAL";;Decyzja o umorzeniu postępowania;
277300;160562;;1989-01-20;15/1990;1990-07-23;05/1993;1993-05-31;Mechanizm do zmiany położenia łopatek wirnika, zwłaszcza turbiny wodnej;POLITECHNIKA GDAŃSKA;ŻOCHOWSKI KAZIMIERZ OGONOWSKI ANDRZEJ;Popławski Czesław;F03B3/06;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277301;;;1989-01-20;15/1990;1990-07-23;;;Palnik do cięcia łukowo-tlenowego zwłaszcza pod wodą;POLITECHNIKA GDAŃSKA;GADOMSKI ZBIGNIEW LESIŃSKI KRZYSZTOF JANUSZ ROMANOWSKI PAWEŁ PIĄTKOWSKI TADEUSZ;Politechnika Gdańska Ośrodek Ochrony Patentowej;B23K;Decyzja o umorzeniu postępowania;
277302;;;1989-01-20;15/1990;1990-07-23;;;Stanowisko do symulowanego badania zespołu koła zębatego z dwiema zębatkami;POLITECHNIKA GDAŃSKA;PASIŃSKI JERZY STAWARZ JERZY ŚWITAŁA HENRYK KRÓL MARIAN OSTACHOWICZ WIESŁAW PAŁŻEWICZ ANDRZEJ;Politechnika Gdańska Ośrodek Ochrony Patentowej;G01M;Decyzja o umorzeniu postępowania;
277303;160563;;1989-01-20;15/1990;1990-07-23;05/1993;1993-05-31;Mechanizm do zmiany położenia łopatek wirnika, zwłaszcza turbiny wodnej;POLITECHNIKA GDAŃSKA;ŻOCHOWSKI KAZIMIERZ OGONOWSKI ANDRZEJ;Popławski Czesław;F03B3/06 F03B3/14;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
