Numer_zgloszenia;Numer_prawa_wylacznego;Data_pierwszenstwa;Data_zgloszenia;Numer_BUP;Data_Publikacji_BUP;Numer_WUP;Data_Publikacji_WUP;Tytul;Uprawnieni;Tworcy;Pelnomocnicy;Klasyfikacja_MKP;Status_sprawy;
277403;159778;;1989-01-28;16/1990;1990-08-06;01/1993;1993-01-29;Sposób i urządzenie do pomiaru gęstości strumienia ciepła na powierzchni porowatej, zwłaszcza na powierzchni gleby;POLSKA AKADEMIA NAUK INSTYTUT AGROFIZYKI;USOWICZ BOGUSŁAW;Wojtas-Słodownik Renata;G01N33/24 G01N25/18;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277404;;;1989-01-27;16/1990;1990-08-06;;;Kocioł gazowy o stalowej konstrukcji;TECHNICZNO-EKONOMICZNA SPÓŁDZIELNIA PRACY "EKSPERT";MRÓZ MAREK RADŁO JACEK DULBA JÓZEF LESZEK KONOPOKA JAN PIOTROWSKA TADEUSZ;;F24H;Decyzja o umorzeniu postępowania;
277405;;;1989-01-25;16/1990;1990-08-06;;;Urządzenie do odzysku ciepła w instalacjach wentylacyjnych i klimatyzacyjnych;BIURO PROJEKTÓW PRZEMYSŁU LEKKIEGO "BEDETE";ZAAL JERZY GRZEGORCZYK STANISŁAW PIETRAS ANDRZEJ;;F24F12/00;Decyzja o wygaśnięciu decyzji warunkowej;
277406;157629;;1989-01-25;16/1990;1990-08-06;06/1992;1992-06-30;Sposób przygotowania złomu i odpadów elektronicznych do chemicznego odzyskiwania metali;INSTYTUT METALI NIEŻELAZNYCH;ŚLUSAREK MIROSŁAW CZYŻYK HENRYK ŚMIESZEK ZBIGNIEW SOBIERAJSKI STANISŁAW WARCZOK JÓZEF ANYSZKIEWICZ KRYSTYNA NADOLNY ANTONI;;C22B7/00;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277407;;;1989-01-25;16/1990;1990-08-06;;;Ruszt rolkowy do transportu zwłaszcza wiotkich arkuszy blach;BIURO PROJEKTÓW PRZEMYSŁU HUTNICZEGO "BIPROHUT" PRZEDSIĘBIORSTWO PAŃSTWOWE;KAPŁANEK JÓZEF WRÓBEL GABRIEL MICHALIK ROMUALD;Biuro Projektów Przemysłu Hutniczego "BIPROHUT Przedsiębiorstwo Państwowe;B65G;Decyzja o umorzeniu postępowania;
277408;;;1989-01-25;23/1989;1989-11-13;;;Sposób i urządzenie do intensyfikacji przemiału w młynie węglowym kulowo-misowym;PRZEDSIĘBIORSTWO REALIZACJI BUDOWNICTWA ENERGETYCZNEGO I EKSPORTU "ENERGOBUD" ZAKŁAD ROZRUCHU URZĄDZEŃ ENERGETYCZNYCH "ENERGOROZRUCH";KWIECIEŃ CZESŁAW CZYŻEWSKI RYSZARD OCHOT DITER SŁUPSKI JERZY SOKALA GRZEGORZ DUDA STEFAN ZAJĘCKI KRZYSZTOF KOWALSKI HENRYK ENGELKING JERZY;;;Konwersja zgłoszenia wynalazku na zgłoszenie wzoru użytkowego;
277409;152305;;1989-01-27;23/1989;1989-11-13;12/1990;1990-12-31;Zestaw prefabrykowanych elementów budowlanych;PRZEDSIĘBIORSTWO PRODUKCJI BETONÓW BUDOWNICTWA KOMUNALNEGO "KOMBET";ALEKSANDROWICZ BOHDAN;;E04C1/00;Prawo wyłączne wygasło po okresie, na jaki zostało udzielone;
277410;160613;;1989-01-27;16/1990;1990-08-06;04/1993;1993-04-30;Elektroda do generacji prądu minimalizującego pole elektryczne okrętu wyposażonego w system ochrony katodowej;OŚRODEK BADAWCZO-ROZWOJOWY CENTRUM TECHNIKI MORSKIEJ;ZAJĄC RYSZARD DYMARKOWSKI KRZYSZTOF;Jankowski Brunon;C23F13/02 B63G9/02;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277411;;;1989-01-25;16/1990;1990-08-06;;;Sposób wyznaczania podatności ziarna zbóż na zewnętrzne uszkodzenie mechaniczne, zwłaszcza ziaren pszenicy;INSTYTUT AGROFIZYKI PAN;GRUNDAS STANISŁAW STYK BOLESŁAW;;G01N;Decyzja o umorzeniu postępowania;
277412;152697;;1989-01-24;22/1989;1989-10-30;01/1991;1991-01-31;Układ elektroniczny sterujący pracą urządzeń elektrycznych, zwłaszcza dzwonkiem szkolnym;TOTON STANISŁAW;TOTON STANISŁAW;;G04C21/30 G04G15/00;Prawo wyłączne wygasło po okresie, na jaki zostało udzielone;
277413;158837;;1989-01-25;16/1990;1990-08-06;10/1992;1992-10-30;Sposób wytwarzania mrożonych koncentratów mezofilnych bakterii mlekowych;CENTRALNY ZWIĄZEK SPÓŁDZIELNI MLECZARSKICH ZAKŁAD PRODUKCJI BIOPREPARATÓW MLECZARSKICH JEDNOSTKA INNOWACYJNO-WDROŻENIOWA "BIOLACTA";KRAMKOWSKA ANNA BARTOSZEWICZ ELŻBIETA KALATA WOJCIECH WOLARZ MARIANNA;;C12N1/20;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277414;;;1989-01-25;16/1990;1990-08-06;;;Układ kompensujący wpływ temperatury ziarna na pomiar w tym ziarnie zawartości wody;PRZEDSIĘBIORSTWO AUTOMATYKI I APARATURY POMIAROWEJ;WIĄCZEK HALINA;;G01N;Decyzja o umorzeniu postępowania;
277415;152208;;1989-01-27;22/1989;1989-10-30;11/1990;1990-11-30;Sposób odzyskiwania poliwęglanów z odpadów;BRZEZIŃSKA EWA LIPKA PAWEŁ PRZYWARSKI JANUSZ;BRZEZIŃSKA EWA LIPKA PAWEŁ PRZYWARSKI JANUSZ;;C08J11/08;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277416;;;1989-01-27;16/1990;1990-08-06;;;Kurtyna urządzenia ekranującego zwłaszcza do obiektów szklarniowych;PIĄTKOWSKI RYSZARD BRODZKI ANDRZEJ;BRODZKI ANDRZEJ PIĄTKOWSKI RYSZARD;Andrzej Brodzki;A01G;Decyzja o umorzeniu postępowania;
277417;;;1989-01-27;16/1990;1990-08-06;;;Komora optyczna, zwłaszcza do czujek dymu;MODZELEWSKI MARIAN;MODZELEWSKI MARIAN;;A62C;Decyzja o umorzeniu postępowania;
277418;;;1989-01-27;16/1990;1990-08-06;;;Zespół łącznikowo-zabierakowy urządzenia ekranującego z dwoma kurtynami, zwłaszcza do obiektów szklarniowych;PIĄTKOWSKI RYSZARD BRODZKI ANDRZEJ;PIĄTKOWSKI RYSZARD BRODZKI ANDRZEJ;Andrzej Brodzki;A01G;Decyzja o umorzeniu postępowania;
277419;;;1989-01-27;16/1990;1990-08-06;;;Elektryczny grzejnik akumulacyjny;FLIS IGNACY;FLIS IGNACY;;F24D F24C;Decyzja o umorzeniu postępowania;
277420;159069;;1989-01-27;16/1990;1990-08-06;11/1992;1992-11-30;Sposób chemicznej renowacji sieci wodnych;SZYMAŃSKI KAZIMIERZ WIECZOREK MARIAN;SZYMAŃSKI KAZIMIERZ WIECZOREK MARIAN;;C02F5/08;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277421;;;1989-01-27;16/1990;1990-08-06;;;Sposób regeneracji gniazd zaworów, przyrząd do regeneracji gniazd zaworów;SPÓŁDZIELNIA MIESZKANIOWA "BRÓDNO";ZALEWSKI JAN;;B23P B24B;Decyzja o umorzeniu postępowania;
277422;159859;;1989-01-27;23/1989;1989-11-13;01/1993;1993-01-29;Środek przyspieszający schnięcie powłok z piecowych materiałów malarskich;INSTYTUT MECHANIKI PRECYZYJNEJ;LICHOTA JAN BOKSZCZANIN WITOLD SZEWCZYK ZDZISŁAW KOZŁOWSKI ANDRZEJ;Foremski Lech;C09D7/12 C08K5/49 C08L67/00 C09D167/00;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277423;159331;;1989-01-27;16/1990;1990-08-06;12/1992;1992-12-31;Sposób oczyszczania ścieków przemysłowych;POLITECHNIKA WARSZAWSKA;PYSIAK JANUSZ STEFANIAK PIOTR TYMIŃSKI BOGDAN BAŃKOWSKI ANDRZEJ TUROWSKI PRZEMYSŁAW RĘDZIŃSKI WŁODZIMIERZ;Kwiatkowski Stanisław;C02F1/28;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277424;159070;;1989-01-27;18/1989;1989-09-04;11/1992;1992-11-30;Mieszane tworzywo polimeryczne;WARNER-LAMBERT COMPANY;LAY GUSTAV REHM JOHANNES STEPTO ROBERT F. T. THOMA MARKUS;POLSERVICE KANCELARIA RZECZNIKÓW PATENTOWYCH SP. Z O.O. ul. Bluszczańska 73 00-712 Warszawa;C08L3/02;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277425;158838;;1989-01-27;16/1989;1989-08-07;10/1992;1992-10-30;Urządzenie do dozowania preparatów aerozolowych utworzonych na bazie zawiesiny;BOEHRINGER INGELHEIM KG;;PRZEDSIĘBIORSTWO RZECZNIKÓW PATENTOWYCH PATPOL SP. Z O.O. ul. Nowoursynowska 162 J 02-776 Warszawa;B65D83/14 A61J1/00 G01F11/26;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277426;;;1989-01-27;16/1990;1990-08-06;;;Wielokątowy pionowy i poziomy trójwymiarowy jednoczesny przyrząd pomiarowy;CHIU-SHAN LEE;LEEN CHIU-SHAN;PRZEDSIĘBIORSTWO RZECZNIKÓW PATENTOWYCH PATPOL SP. Z O.O. ul. Nowoursynowska 162 J 02-776 Warszawa;G01C;Decyzja o umorzeniu postępowania;
277427;;1988-01-29;1989-01-27;01/1990;1990-01-08;;;Środek chwastobójczy i sposób wytwarzania hydrazydów i kwasów hydroksamowych pochodnych kwasu benzoesowego;Sandoz A.G.;BAUM JOHN WILIAM CLOUDSDALE IAN STUART LEE MING POMES JAMES CHROSTOPHER;PRZEDSIĘBIORSTWO RZECZNIKÓW PATENTOWYCH PATPOL SP. Z O.O. ul. Nowoursynowska 162 J 02-776 Warszawa;A01N C07C;Decyzja o umorzeniu postępowania;
277428;;1988-02-03;1989-01-27;21/1989;1989-10-16;;;Nośnik mostka zapłonowego do zapalników elektrycznych;HOECHST CERAMTEC AKTIENGESELLSCHAFT;RAJNER WALTER BENDER RICHARD BRETFELD ANTON;PRZEDSIĘBIORSTWO RZECZNIKÓW PATENTOWYCH PATPOL SP. Z O.O. ul. Nowoursynowska 162 J 02-776 Warszawa;;Decyzja o umorzeniu postępowania;
277429;;;1989-01-28;16/1990;1990-08-06;;;Urządzenie filtrowentylacyjne;CENTRALNY INSTYTUT OCHRONY PRACY GLIWICKA FABRYKA URZĄDZEŃ WENTYLACYJNYCH "GLIWENT";TREPKA WACŁAW GRZYWA ZBIGNIEW SZAPAJKO BOGUSŁAW GAŁKA WOJCIECH IWAN KLAUS WIRSKI WŁADYSŁAW GLIŃSKI MACIEJ;;B01D;Decyzja o umorzeniu postępowania;
277430;;;1989-01-26;16/1990;1990-08-06;;;Układ strukturalny dla 3-cylindrowego tłokowego silnika spalinowego;POLITECHNIKA ŚLĄSKA;PRUGAR ERYK;Ośrodek d/s Wynalazczości i Ochrony Patentowej Politechniki Śląskiej;F02B;Decyzja o umorzeniu postępowania;
277432;160318;;1989-01-30;16/1990;1990-08-06;02/1993;1993-02-26;Mieszadło;INSTYTUT CHEMII NIEORGANICZNEJ;KOŃCZYK TADEUSZ ZIĘBA STEFAN POŹNIAK TADEUSZ SOWA JERZY STROKOWSKA ANNA FOLEK STANISŁAW NAJDA JERZY PRZEPIERA STEFAN CHYBOWSKI WŁADYSŁAW;;B01F7/18;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277433;158496;;1989-01-27;16/1990;1990-08-06;09/1992;1992-09-30;Stanowisko do gazowego cięcia blach;ZAODRZAŃSKIE ZAKŁADY PRZEMYSŁU METALOWEGO IM. MARCELEGO NOWOTKI "ZASTAL";DROZDEK JÓZEF POKRZYWNIAK JAN;;B23K7/10 B08B15/02;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277434;;;1989-01-27;15/1990;1990-07-23;;;Forma do seryjnego odlewania spektrometrycznych wzorców żeliwa o dużej skłonności do grafifizacji;INSTYTUT ODLEWNICTWA;RYGLICKI ROMAN GWIŻDŻ ANDRZEJ PIROWSKI ZENON GROCHAL TADEUSZ;;B22D G01N;Decyzja o umorzeniu postępowania;
277435;159779;;1989-01-26;16/1990;1990-08-06;01/1993;1993-01-29;Urządzenie do napowietrzania zbiorników i cieków wodnych;"AKWATECH" PRZEDSIĘBIORSTWO INŻYNIERII KOMUNALNEJ SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;BEYM MIROSŁAW;;C02F7/00 C02F3/20;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277436;159332;;1989-01-26;16/1990;1990-08-06;12/1992;1992-12-31;Wykrojnik;DOLMEL DRIVES LTD;ZYCH JULIAN;;B21D28/14;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277438;;;1989-01-30;16/1990;1990-08-06;;;Sposób wstępnej obróbki i transportu ścieków bytowo-gospodarczych oraz instalacja kanalizacyjna do wstępnej obróbki i transportu Scieków bytowo-gospodarczych;BIURO PROJEKTÓW WODNYCH MELIORACJI;ADAMSKI MICHAŁ WESOŁEK JERZY;;C02F E03F;Decyzja o odmowie udzielenia prawa wyłącznego;
277439;;;1989-01-27;16/1990;1990-08-06;;;Termistorowy czujnik temperatury;PRZEDSIĘBIORSTWO USŁUGOWE "METPOL" SPÓŁKA AKCYJNA;POBUDZIN MARCIN MIDURA STANISŁAW;;G01K;Decyzja o umorzeniu postępowania;
277440;;;1989-01-26;16/1990;1990-08-06;;;Sposób modyfikacji właściwości płyty pilśniowej twardej i urządzenie do stosowania tego sposobu;ZAKŁADY PŁYT PILŚNIOWYCH;WOJTYNA ZENON POLANOWSKI DANIEL DOBRAS STANISŁAW KACZMAREK IRENEUSZ KUZIO RYSZARD;;B27N;Decyzja o umorzeniu postępowania;
277442;159572;;1989-01-27;18/1990;1990-09-03;12/1992;1992-12-31;Urządzenie do znakowania elementów tarczowych;HUTA STALOWA WOLA SPÓŁKA AKCYJNA;BURDZY JÓZEF RURARZ FRANCISZEK;;B44B5/00;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277443;;;1989-01-27;16/1990;1990-08-06;;;Sposób wytwarzania materiału ocieplająco-wypornościowego, zwłaszcza do wyrobów ratunkowych i asekuracyjnych;CENTRALNY OŚRODEK BADAWCZO-ROZWOJOWY TECHNICZNYCH WYROBÓW WŁÓKIENNICZYCH;TARKOWSKA SYLWIA;;C08L;Decyzja o odmowie udzielenia prawa wyłącznego;
277444;;;1989-01-27;16/1990;1990-08-06;;;Sposób sporządzania mieszanin gazowych;INSTYTUT NAWOZÓW SZTUCZNYCH;STOŁECKI KAZIMIERZ GOŁĘBIOWSKI ANDRZEJ;;B01F;Decyzja o umorzeniu postępowania;
277445;159780;;1989-01-26;16/1990;1990-08-06;01/1993;1993-01-29;Sposób sieciowania włókien celulozowych lub mieszanek włókien celulozowych z innymi włóknami;CENTRALNY OŚRODEK BADAWCZO-ROZWOJOWY PRZEMYSŁU BAWEŁNIANEGO;ZAWADZKI ANDRZEJ SZCZEPANIAK WŁODZIMIERZ JAWORSKA JADWIGA DĄBROWSKA LUDWIKA JAKUBOWSKA-KOPROWSKA KRYSTYNA OSTROWSKA HANNA BUŁA BRONISŁAW;;C08B15/10 D06M15/45;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277446;158195;;1989-01-26;22/1989;1989-10-30;08/1992;1992-08-31;Wspornik mocujący czaszę anteny parabolicznej;BOGACKI ADOLF BOGACKI JERZY;BOGACKI ADOLF BOGACKI JERZY;;H01Q1/12 F16B5/01;Prawo wyłączne wygasło po okresie, na jaki zostało udzielone;
277447;158314;;1989-01-28;16/1990;1990-08-06;08/1992;1992-08-31;Układ rozruchowy pierścieniowego silnika asynchronicznego;CENTRUM MECHANIZACJI GÓRNICTWA "KOMAG";BYRCZEK TADEUSZ KALYTA JAN TŁUŚCIK TADEUSZ;Kusz Grzegorz;H02P1/04;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277448;;;1989-01-30;18/1989;1989-09-04;;;Sposób obróbki wody zapobiegający odkładaniu się osadów na powierzchniach wymiany ciepła;PRZEDSIĘBIORSTWO REALIZACJI BUDOWNICTWA ENERGETYCZNEGO I EKSPORTU "ENERGOBUD" ZAKŁAD ROZRUCHU URZĄDZEŃ ENERGETYCZNYCH "ENERGOROZRUCH";KACZMAREK WITOLD MAŚLIŃSKA-SOLICH JOLANTA ZAWADKA-PIEKOSZEWSKA ALICJA ZYCH-BUDNO WŁADYSŁAWA KONIECZNY JAN KOZIEŁ JÓZEF;Przedsiębiorstwo Realizacji Budownictwa Energetycznego i Eksportu ENERGOBUD Zakład Rozruchu Urządzeń Energetycznych ENERGOROZRUCH;;Decyzja o odmowie udzielenia prawa wyłącznego;
277449;;;1989-01-26;16/1990;1990-08-06;;;Sposób oraz element do izolacji akustycznej budynków, zwłaszcza mieszkalnych;PRZEDSIĘBIORSTWO BUDOWNICTWA MIESZKANIOWEGO PRZEMYSŁU WĘGLOWEGO "KOMBUD";CZYŻ JÓZEF GAJOS BOGUMIŁ ZGÓRALSKI ADAM ADAMCZYK JAN ZADĘCKI WIESŁAW RAIWER WITPLD;Tarnawa Kazimierz;E04B;Decyzja o umorzeniu postępowania;
277450;159071;;1989-01-26;16/1990;1990-08-06;11/1992;1992-11-30;Prowadnik łańcucha kombajnu ścianowego;KOPALNIA WĘGLA KAMIENNEGO "BORYNIA";MYRCZEK JAN SIBILA KRYSTIAN BRACHMAN HUBERT KOZAK MARIAN CHLEBIK WŁADYSŁAW;;E21C35/12;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277451;159114;;1989-01-27;16/1990;1990-08-06;11/1992;1992-11-30;Oprawka gwinciarska;JURDZIAK ROMUALD;JURDZIAK ROMUALD;;B23B31/04 B23G1/46;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277452;;;1989-01-27;16/1990;1990-08-06;;;Przyrząd do badania zjawisk zachodzących na granicy faz;POLITECHNIKA GDAŃSKA;DRELICH JAROSŁAW KOZŁOWSKI TOMASZ HUPKA JAN ROMPCA MAREK;Politechnika Gdańska Ośrodek Ochrony Patentowej;G01N;Decyzja o umorzeniu postępowania;
277453;159333;;1989-01-27;16/1990;1990-08-06;12/1992;1992-12-31;Sposób i układ do pomiaru modułu impedancji pętli zwarciowej;POLITECHNIKA GDAŃSKA;ROSKOSZ RYSZARD;Paszkowska Lidia;G01R27/16;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277454;;;1989-01-26;16/1990;1990-08-06;;;Sposób i urządzenie do bezrdzeniowego rotacyjnego odlewania opon;POLITECHNIKA GDAŃSKA;BURKIEWICZ EDMUND TADEUSZ SZYMAŃSKI SŁAWOMIR;Politechnika Gdańska Ośrodek Ochrony Patentowej;B29D;Decyzja o umorzeniu postępowania;
277455;;;1989-01-27;16/1990;1990-08-06;;;Sposób przetwarzania przesunięcia fazowego na wartość cyfrową;POLITECHNIKA WROCŁAWSKA;DŁUGOSZ JÓZEF STANISŁAW KOLANKO JERZY STASZEWSKI JANUSZ;Politechnika Wrocławska Dział Wynalazczości i Ochrony Patentowej;G01R;Decyzja o umorzeniu postępowania;
277456;160156;;1989-01-27;16/1990;1990-08-06;02/1993;1993-02-26;Sposób przetwarzania napięcia przemiennego i mocy czynnej na wartość cyfrową;POLITECHNIKA WROCŁAWSKA;DŁUGOSZ JÓZEF S. KOLANKO JERZY STASZEWSKI JANUSZ;Żyborska Stanisława;G01R19/255 G01R21/133;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277457;158839;;1989-01-27;16/1990;1990-08-06;10/1992;1992-10-30;Sposób wytwarzania przewodu nadprzewodzącego niobowo-cynowego;POLITECHNIKA WROCŁAWSKA;MAZUREK BOLESŁAW RUTKOWSKI JERZY;Żyborska Stanisława;H01B12/00 H01B13/00;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277458;158497;;1989-01-26;18/1989;1989-09-04;09/1992;1992-09-30;Sposób wytwarzania soli /q/-1-izopropyloamino-3- [4-/2-metoksyetylo/fenoksy]-2-propanolu, zwłaszcza winianu /q/-1-izopropyloamino-3- [4-/2-metoksyetylo/fenoksy]-2-propanolu;PRZEDSIĘBIORSTWO FARMACEUTYCZNE "POLFA" W RZESZOWIE SPÓŁKA AKCYJNA ZAKŁADY TWORZYW SZTUCZNYCH "GAMRAT" SPÓŁKA AKCYJNA;ZJAWIONY JORDAN KACZUR-KACZYŃSKI EUGENIUSZ WITKOWSKI KAZIMIERZ GROSMAN-ZJAWIONA ZOFIA MATŁOK ANDRZEJ PEPERA MARIAN WĘGRZYN KRZYSZTOF BAŁON JANINA SUŚNIAK JANINA FIBIGER ANDRZEJ ŻYDZIK STANISŁAW;;C07C217/32;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277459;159644;;1989-01-26;16/1990;1990-08-06;12/1992;1992-12-31;Żeliwo średniochromowe;POLITECHNIKA ŁÓDZKA;PIETROWSKI STANISŁAW HAŚ ZDZISŁAW;Bałczewski Zbigniew;C22C37/08;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277460;;;1989-01-30;16/1990;1990-08-06;;;Sposób wytwarzania szczepionki do odczulania chorych na pyłkowicę;CIBOROWSKI PAWEŁ ROSZKOWSKI WALDEMAR;ROSZKOWSKI WALDEMAR CIBOROWSKI PAWEŁ;;A61K;Decyzja o umorzeniu postępowania;
277461;;;1989-01-30;23/1989;1989-11-13;;;Układ przetwornicy, zwłaszcza do latarki elektrycznej;KUĆ SŁAWOMIR;KUĆ SŁAWOMIR;;;Decyzja o umorzeniu postępowania;
277462;;;1989-01-30;16/1990;1990-08-06;;;Sposób wytwarzania mikroorganizmów przeprowadzających odtruwanie i sposób zmniejszania działania oszkadzającego rośliny uprawne przez tiolokarbaminiany;Eszakmagyarorszagi Vegyimuvek;NAGY JZSEF NAGY ISTVAN KECSKES MIHALY BALOGH KAROLY MILE RRZSEBET TARPAI GYULA SELLEI KATALIN FODOR KAROLY TOTH ERZSEBET HORVATH ZSUZSANNA;PRZEDSIĘBIORSTWO RZECZNIKÓW PATENTOWYCH PATPOL SP. Z O.O. ul. Nowoursynowska 162 J 02-776 Warszawa;A01N C12N;Decyzja o umorzeniu postępowania;
277463;;;1989-01-30;16/1990;1990-08-06;;;Sposób wprowadzania znaków graficznych w zrastrowane pola;CZARNECKI RYSZARD;CZARNECKI RYSZARD;;G03B;Decyzja o umorzeniu postępowania;
277464;;1988-01-29;1989-01-30;21/1989;1989-10-16;;;Urządzenie do chirurgicznego leczenia ametropii;Mezhotraslevoi Nauchno-Tekhnichesky Komplex "MIKROKHIRURGIA GLAZA";FEDOROV SVYATOSLAV NIKOLAEVICH IVASHINA ALBINA IVANOVNA LINNIK LEONID FEODOSIEVICH LINNIK BEILIN EFIM NATANOVICH TJURIN VLADIMIR STEPANOVICH ORIOV MIKHAIL JURIEVICH KOMINA ELENA GENNADIEVNA KHARIZOV ALEXEI ALEXANDROVICH SKVORTSOV IGOR ANATOLIEVICH EVSJUKOV ALEXANDR GENNADIEVICH SOROKIN ALEXANDR SERGEEVICH;POLSERVICE KANCELARIA RZECZNIKÓW PATENTOWYCH SP. Z O.O. ul. Bluszczańska 73 00-712 Warszawa;;Decyzja o umorzeniu postępowania;
277466;164405;;1989-01-30;18/1989;1989-09-04;07/1994;1994-07-29;Lodołamacz;Thyssen Nordseewerke GmbH;HELLMANN JENS-HOLGER HÖLSCHER RICHARD JANSSEN HERMANN J. KLEEMANN ALFRED RUPP KARL-HEINZ SCHWARZ JOACHIM VARGES GÜNTER WAAS HEINRICH;Grabowska Małgorzata;B63B35/08;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277467;159888;;1989-01-30;21/1989;1989-10-16;01/1993;1993-01-29;Sposób polepszania spalania w silnikach spalinowych i urządzenie do polepszania spalania w silnikach spalinowych;Vitale Miljöinvesteringer AS;OLSSON JOHN OLSSON BERTIL OLSSON GUNNAR LINDSTROM ARNE;Pabijan-Zawadzka Agnieszka;F01N3/36;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277468;;1988-01-29;1989-01-30;21/1989;1989-10-16;;;Urządzenie do chirurgicznego leczenia;Mezhotraslevoi Nauchno-Tekhnichesky Komplex "MIKROKHIRURGIA GLAZA";FEDOROV SVATOSŁAV NIKOLAEVICH IVASHINA ALBINA IVANOVNA ILNNIK LEONID FEODOSIEVICH BEILIN EFIM NATANOVICH TJURIN VLADIMIR STEPANOVICH ORLOV MIKHAIL JURIEVICH RODIONOV VALERY VLADIMIROVICH MAGARAMOV DAVID AGAEVICH SKVORTSOV IGOR ANATOLIEVICH EGOROV VLADIMIR PAVLOVICH ZOLKIN ANATOLY IVANOVICH;POLSERVICE KANCELARIA RZECZNIKÓW PATENTOWYCH SP. Z O.O. ul. Bluszczańska 73 00-712 Warszawa;;Decyzja o umorzeniu postępowania;
277469;158032;;1989-01-30;20/1989;1989-10-02;07/1992;1992-07-31;Urządzenie do wytwarzania piany;INSTYTUT BUDOWNICTWA MECHANIZACJI I ELEKTRYFIKACJI ROLNICTWA;WARGOCKI MARIAN GONTARZ MIROSŁAW PRZYKORSKI ANDRZEJ WARGOCKI JACEK WIĘCKOWSKI WALDEMAR;;A62C5/02;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277470;160040;;1989-01-30;16/1990;1990-08-06;01/1993;1993-01-29;Zespół czołowych uszczelnień ślizgowych przelotowego wału obrotowego w ściankach komory olejowej o ciśnieniu niższym od ciśnienia otoczenia, zwłaszcza do zatapianych maszyn wirnikowych;INSTYTUT BUDOWNICTWA MECHANIZACJI I ELEKTRYFIKACJI ROLNICTWA;WIERZBICKI KRZYSZTOF STACHOWICZ ZBIGNIEW EYMONTT ANDRZEJ AFTARCZUK MIECZYSŁAW HAAS JAN STASZKIEWICZ MAREK DUBICKI KAZIMIERZ;;F16J15/28 F04D29/18 F03B3/00;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277471;;;1989-01-31;16/1990;1990-08-06;;;Urządzenie do odpylania gazów przemysłowych;POLITECHNIKA WARSZAWSKA;GRADOŃ LEON NOWICKI JERZY PLUCIŃSKI JANUSZ;Kwiatkowski Stanisław;B01D;Decyzja o odmowie udzielenia prawa wyłącznego;
277473;;;1989-01-30;23/1989;1989-11-13;;;Przedłużacz-rozgałęziacz do pakietów;CENTRUM NAUKOWO-PRODUKCYJNE ELEKTRONIKI PROFESJONALNEJ UNITRA-RADWAR;KALIŃSKI WŁODZIMIERZ MIROSŁAWSKI DARIUSZ;;;Decyzja o umorzeniu postępowania;
277475;;1986-12-10;1987-12-09;22/1989;1989-10-30;;;SPOSOB WYTWARZANIA DIAGNOSTYKU;HOECHST AG;;;;Decyzja o umorzeniu postępowania;
277476;159725;;1989-01-31;16/1990;1990-08-06;01/1993;1993-01-29;Przepustnica - zawór do materiałów płynnych i sypkich;CENTRALNY OŚRODEK BADAWCZO-ROZWOJOWY PRZEMYSŁU BETONÓW "CEBET";GĘBAROWSKI STANISŁAW WŁODARCZYK MIROSŁAW ROSTEK ANDRZEJ KUREK ZACHEUSZ;Gałajda Zofia;F16K1/226;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
